   1 1.000E+00 8.859E-01 7.829E-01 6.901E-01 6.067E-01 5.317E-01 4.643E-01 45AV
   8 4.039E-01 3.501E-01 3.023E-01 2.603E-01 2.233E-01 1.912E-01 1.635E-01 45AV
  15 1.397E-01 1.193E-01 1.018E-01 8.694E-02 7.423E-02 6.339E-02 5.415E-02 45AV
  22 4.628E-02 3.957E-02 3.386E-02 2.898E-02 2.483E-02 2.128E-02 1.825E-02 45AV
  29 1.566E-02 1.345E-02 1.157E-02 9.959E-03 8.585E-03 7.412E-03 6.409E-03 45AV
  36 5.550E-03 4.815E-03 4.184E-03 3.641E-03 3.174E-03 2.771E-03 2.423E-03 45AV
  43 2.121E-03 1.858E-03 1.630E-03 1.431E-03 1.257E-03 1.104E-03 9.701E-04 45AV
  50 8.523E-04 7.484E-04 6.567E-04 5.758E-04 5.044E-04 4.413E-04 3.856E-04 45AV
  57 3.364E-04 2.931E-04 2.551E-04 2.216E-04 1.923E-04 1.666E-04 1.441E-04 45AV
  64 1.245E-04 1.074E-04 9.258E-05 7.967E-05 6.848E-05 5.878E-05 5.039E-05 45AV
  71 4.314E-05 3.689E-05 3.151E-05 2.689E-05 2.291E-05 1.949E-05 1.657E-05 45AV
  78 1.406E-05 1.191E-05 1.008E-05 8.520E-06 7.189E-06 6.058E-06 5.097E-06 45AV
