-5.484 -5.646 -5.701 -5.507 -5.005 -3.794 -1.07 1.973 4.338 5.625 5.688 5.34
-4.905 -4.959 -4.821 -4.329 -3.41 -1.449 2.334 5.507 7.141 7.557 7.312 6.835
-4.083 -3.998 -3.616 -2.759 -1.363 1.306 5.547 8.152 9.069 9.048 8.688 8.164
-4.785 -4.864 -4.796 -4.454 -3.802 -2.434 0.211 2.741 4.517 5.467 5.526 5.26
-3.818 -3.771 -3.493 -2.856 -1.83 0.116 3.387 5.857 7.113 7.473 7.295 6.913
-2.805 -2.614 -2.1 -1.133 0.284 2.73 6.218 8.266 9.029 9.049 8.761 8.324
-1.739 -1.385 -0.598 0.73 2.524 5.302 8.582 10.092 10.499 10.337 9.998 9.541
-0.741 -0.214 0.86 2.55 4.661 7.573 10.431 11.493 11.679 11.415 11.048 10.583
0.165 0.873 2.242 4.277 6.628 9.502 11.879 12.607 12.65 12.32 11.935 11.469
1.015 1.91 3.578 5.923 8.414 11.113 13.032 13.522 13.47 13.097 12.704 12.244
1.808 2.895 4.86 7.465 9.999 12.445 13.969 14.289 14.17 13.765 13.367 12.916
-5.352 -5.558 -5.723 -5.748 -5.611 -5.207 -4.355 -3.437 -2.496 -1.287 -0.419 0.253
-4.701 -4.807 -4.81 -4.61 -4.192 -3.322 -1.679 -0.016 1.459 2.786 3.293 3.366
-3.971 -3.971 -3.795 -3.345 -2.612 -1.232 1.147 3.225 4.664 5.509 5.606 5.387
-3.159 -3.038 -2.661 -1.929 -0.85 1.037 3.93 5.999 7.089 7.475 7.353 7.015
-2.278 -2.023 -1.421 -0.377 1.061 3.385 6.467 8.235 8.945 9.03 8.795 8.399
-1.357 -0.951 -0.097 1.28 3.061 5.684 8.635 9.995 10.403 10.302 10.006 9.582
-0.368 0.203 1.326 3.035 5.096 7.828 10.428 11.407 11.605 11.389 11.056 10.62
0.688 1.432 2.826 4.827 7.061 9.709 11.872 12.558 12.62 12.335 11.982 11.545
1.772 2.698 4.36 6.601 8.897 11.324 13.057 13.524 13.495 13.168 12.808 12.378
2.82 3.923 5.824 8.222 10.47 12.607 13.976 14.29 14.202 13.852 13.497 13.081
-2.675 -2.683 -2.614 -2.421 -2.079 -1.326 0.407 2.467 4.154 5.132 5.209 4.959
-2.016 -1.946 -1.747 -1.365 -0.771 0.42 2.748 4.81 5.961 6.327 6.186 5.842
-1.12 -0.961 -0.618 -0.038 0.8 2.332 4.807 6.445 7.113 7.185 6.964 6.587
-1.903 -1.864 -1.734 -1.478 -1.083 -0.3 1.286 2.948 4.215 4.961 5.039 4.85
-0.962 -0.851 -0.612 -0.208 0.371 1.44 3.334 4.913 5.817 6.155 6.065 5.793
0.02 0.203 0.555 1.104 1.848 3.122 5.059 6.35 6.93 7.039 6.872 6.56
1.04 1.3 1.763 2.445 3.314 4.67 6.416 7.371 7.728 7.717 7.515 7.191
1.968 2.301 2.868 3.661 4.609 5.945 7.419 8.111 8.332 8.256 8.035 7.707
2.776 3.178 3.841 4.725 5.709 6.961 8.163 8.667 8.803 8.684 8.453 8.126
3.495 3.962 4.71 5.656 6.635 7.76 8.723 9.098 9.178 9.034 8.798 8.477
4.135 4.662 5.48 6.461 7.402 8.386 9.156 9.44 9.483 9.319 9.082 8.769
-2.517 -2.588 -2.644 -2.657 -2.619 -2.479 -2.085 -1.508 -0.791 0.202 0.913 1.449
-1.767 -1.768 -1.719 -1.595 -1.389 -0.968 -0.071 1.01 2.092 3.135 3.547 3.612
-1.009 -0.943 -0.791 -0.53 -0.154 0.544 1.868 3.2 4.239 4.921 5.03 4.879
-0.212 -0.078 0.178 0.577 1.118 2.063 3.647 4.953 5.752 6.113 6.066 5.828
0.619 0.82 1.181 1.715 2.405 3.53 5.173 6.283 6.836 6.993 6.866 6.587
1.466 1.736 2.199 2.855 3.663 4.877 6.407 7.271 7.634 7.668 7.498 7.2
2.322 2.655 3.208 3.961 4.837 6.041 7.36 8.007 8.242 8.201 8.006 7.7
3.166 3.552 4.173 4.983 5.868 6.983 8.07 8.557 8.71 8.626 8.419 8.114
3.979 4.408 5.076 5.904 6.753 7.733 8.609 8.98 9.082 8.972 8.762 8.463
4.708 5.166 5.855 6.667 7.445 8.281 8.986 9.278 9.349 9.228 9.022 8.736
